	id	sentence	Past	Future
67	Reagan_1984_32	Send away the handwringers and the doubting Thomases.	0.0	1.0
68	Roosevelt_1906_100	Evil will surely come in the end to both races if we substitute for this just rule the habit of treating all the members of the race, good and bad, alike.	0.0	1.0
69	Carter_1979_128	SALT II does not rely on trust; it will be verifiable.	0.0	1.0
70	Truman_1949_58	This means that the Government must adapt its plans and policies to meet changing circumstances.	0.0	1.0
71	Roosevelt_1902_79	If it prove impossible to ratify the pending treaties, and if there seem to be no warrant for the endeavor to execute others, or to amend the pending treaties so that they can be ratified, then the same end--to secure reciprocity--should be met by direct legislation.	0.0	1.0
72	Wilson_1917_75	No representative of any self-governed nation will dare disregard it by attempting any such covenants of selfishness and compromise as were entered into at the Congress of Vienna.	1.0	1.0
73	Coolidge_1927_192	Price fixing and subsidy will both increase the surplus, instead of diminishing it.	0.0	1.0
74	Carter_1981_554	The Federal government will need to develop more innovative and practical ways for neighborhood based organizations to successfully participate in the identification and solution of local and neighborhood concerns.	0.0	1.0
75	Roosevelt_1906_539	This Government would be glad to see an international consideration of the subject which shall discriminate between such cases and the simple nonperformance of a contract with a private person, and a resolution in favor of reliance upon peaceful means in cases of the latter class.	0.0	1.0
76	Clinton_1998_32	You can all be proud of that, because turning a sea of red ink into black is no miracle.	0.0	0.0
77	Clinton_2000_255	Global Change and American Leadership  To realize the full possibilities of the new economy, we must reach beyond our own borders, to shape the revolution that is tearing down barriers and building new networks among nations and individuals, economies and cultures: globalization.	0.0	1.0
78	Obama_2011_96	That's what helped make possible things like computer chips and GPS.	1.0	0.0
79	Coolidge_1928_237	IRRIGATION OF ARID LANDS  For many years the Federal Government has been committed to the wise policy of reclamation and irrigation.	1.0	0.0
80	Obama_2012_160	Let's also remember that hundreds of thousands of talented, hardworking students in this country face another challenge: The fact that they aren't yet American citizens.	0.0	1.0
81	Coolidge_1928_120	It is doubtful if the peak of expenditures will be reached even under present legislation for sonic time yet to come.	0.0	1.0
82	Truman_1946_808	The total includes net outlays of Government corporations.	0.0	0.0
83	Eisenhower_1955_43	We must continue to support and strengthen the United Nations.	0.0	1.0
84	Kennedy_1963_175	Nevertheless, while a strain is not a fracture, it is clear that the forces of diversity are at work inside the Communist camp, despite all the iron disciplines of regimentation and all the iron dogmatisms of ideology.	0.0	0.0
85	Clinton_1995_334	It prohibits financial transactions with these groups.	0.0	1.0
86	Carter_1980_145	And fifth, we must use the decade of the 1980's to attack the basic structural weaknesses and problems in our economy through measures to increase productivity, savings, and investment.	0.0	1.0
87	Coolidge_1927_300	Complete reports of what is required will undoubtedly be available early in the session.	0.0	1.0
88	Taft_1911_607	The amount of the awards ought, as a matter of good faith on the part of the Government, to be paid.	0.0	1.0
89	Roosevelt_1903_462	Had it not been for the exercise by the United States of the police power in her interest, her connection with the Isthmus would have been sundered long ago.	1.0	0.0
91	Obama_2013_175	Real reform means establishing a responsible pathway to earned citizenship -- a path that includes passing a background check, paying taxes and a meaningful penalty, learning English, and going to the back of the line behind the folks trying to come here legally.	0.0	1.0
92	Reagan_1984_173	Our children come first, and that's why I established a bipartisan National Commission on Excellence in Education, to help us chart a commonsense course for better education.	1.0	0.0
93	Eisenhower_1958_70	I now want to talk about the strength we need to win a different kind of war--one that has already been launched against us.	1.0	1.0
94	Bush_1990_63	The money is there.	0.0	0.0
95	Johnson_1969_20	Preschool education--Head Start--is already here to stay and, I think, so are the Federal programs that tonight are keeping more than a million and a half of the cream of our young people in the colleges and the universities of this country.	0.0	1.0
96	Clinton_1994_171	Every year, fewer and fewer Americans even get to choose their doctors.	1.0	1.0
97	Taft_1912_690	I earnestly recommend the appropriation at this session of such a sum as will enable the United States to construct a suitable building, install a governmental exhibit, and otherwise participate in the Panama-Pacific International Exposition in a manner commensurate with the dignity of a nation whose guests are to be the people of the world.	0.0	1.0
98	Roosevelt_1945_246	And our task is not helped by stubborn partisanship, however understandable on the part of opposed internal factions.	0.0	1.0
99	Roosevelt_1902_103	It is of the highest importance that employer and employee alike should endeavor to appreciate each the viewpoint of the other and the sure disaster that will come upon both in the long run if either grows to take as habitual an attitude of sour hostility and distrust toward the other.	0.0	0.0
100	Roosevelt_1904_434	If a nation shows that it knows how to act with reasonable efficiency and decency in social and political matters, if it keeps order and pays its obligations, it need fear no interference from the United States.	0.0	0.0
101	Reagan_1983_256	And they've already begun the building, the research, the work, and the giving that will make our country great again.	1.0	1.0
102	Truman_1946_208	On the other side of the world, a method of international cooperation has recently been agreed upon for the treatment of Japan.	1.0	0.0
103	Wilson_1918_14	But it is not the physical scale and executive efficiency of preparation, supply, equipment and despatch that I would dwell upon, but the mettle and quality of the officers and men we sent over and of the sailors who kept the seas, and the spirit of the nation that stood behind them.	0.0	0.0
104	Reagan_1987_126	Now let's turn to the future.	0.0	1.0
105	Roosevelt_1944_60	In a period of gross inflation they would be the worst sufferers.	0.0	0.0
106	Obama_2015_157	Finally, as we better train our workers, we need the new economy to keep churning out high-wage jobs for our workers to fill.	0.0	1.0
107	Roosevelt_1934_8	We have undertaken new methods.	1.0	0.0
108	Bush_2001_261	But let us also agree that our good will must be dedicated to great goals.	0.0	1.0
109	Roosevelt_1901_389	The connection between idleness and mischief is proverbial, and the opportunity to do remunerative work is one of the surest preventatives of war.	0.0	0.0
110	Roosevelt_1908_97	This administration is nearing its end; and, moreover, under our form of government the solution of the problem depends upon the action of the States as much as upon the action of the Nation.	0.0	1.0
111	Carter_1981_324	HOUSING  For the past 14 months, high interest rates have had a severe impact on the nation's housing market.	1.0	0.0
112	Bush_2007_156	Free people are not drawn to violent and malignant ideologies, and most will choose a better way when they are given a chance.	0.0	0.0
113	Coolidge_1928_35	I am certain that the Congress would not pass and I should not feel warranted in approving legislation which would involve us in that financial disgrace.	0.0	1.0
114	Eisenhower_1959_119	Such a study would update and supplement, in the light of continuous changes in our society and its economy, the monumental work of the Committee on Recent Social Trends which was appointed in 1931 by President Hoover.	1.0	1.0
115	Clinton_1994_88	It will create jobs.	0.0	1.0
116	Truman_1947_267	We are encountering serious difficulties in maintaining our forces at even these reduced levels.	0.0	0.0
117	Coolidge_1927_305	The State Department has requested the Canadian Government to negotiate treaties necessary to provide for this improvement.	0.0	1.0
118	Roosevelt_1943_56	I cannot tell you when or where the United Nations are going to strike next in Europe.	0.0	1.0
119	Clinton_1996_282	I urge the Senate to ratify it--now.	0.0	1.0
120	Obama_2013_162	Now, even with better high schools, most young people will need some higher education.	0.0	0.0
121	Carter_1981_878	Price decontrol for oil and gas is proceeding.	0.0	1.0
122	Clinton_1995_128	But I'll tell you something, if you'll give me the line-item veto, I'll remove some of that unnecessary spending.	0.0	1.0
123	Truman_1950_177	We have made only the first beginnings in this field, but in the perspective of history they may loom larger than the first airplane, or even the first tools that started man on the road to civilization.	1.0	1.0
124	Roosevelt_1906_187	In all legislation of this kind it is well to advance cautiously, testing each step by the actual results; the step proposed can surely be safely taken, for the decisions of the commission would not bind the parties in legal fashion, and yet would give a chance for public opinion to crystallize and thus to exert its full force for the right.	0.0	1.0
125	Roosevelt_1905_534	His standard of living should be such that he will not, by pressure of competition, lower the standard of living of our own wage-workers; for it must ever be a prime object of our legislation to keep high their standard of living.	0.0	1.0
126	Bush_1991_36	We are resolute and resourceful.	0.0	0.0
127	Wilson_1913_83	The people of Alaska should be given the full Territorial form of government, and Alaska, as a storehouse, should be unlocked.	0.0	1.0
128	Hoover_1929_15	As I have before indicated, I shall direct that our signature be affixed to the protocol of adherence and shall submit it for the approval of the Senate with a special message at some time when it is convenient to deal with it.	0.0	1.0
129	Truman_1946_945	These conditions prevail today.	0.0	0.0
130	Clinton_1999_358	We have a responsibility to make them welcome here, and they have a responsibility to enter the mainstream of American life.	0.0	1.0
131	Carter_1980_72	We've increased annually our real commitment for defense, and we will sustain this increase of effort throughout the Five Year Defense Program.	1.0	1.0
132	Coolidge_1928_54	To compose the contending parties, I sent there Col. Henry L. Stimson, former Secretary of War and now Governor General of the Philippine Islands, who secured an agreement that warfare should cease, a national election should be held and peace should be restored.	1.0	1.0
133	Bush_2001_86	My budget will improve our environment by accelerating the cleanup of toxic Brownfields.	0.0	1.0
134	Roosevelt_1905_50	As I said in my message of December 6 last, the immediate and most pressing need, so far as legislation is concerned, is the enactment into law of some scheme to secure to the agents of the Government such supervision and regulation of the rates charged by the railroads of the country engaged in interstate traffic as shall summarily and effectively prevent the imposition of unjust or unreasonable rates.	1.0	1.0
135	Reagan_1984_54	"Franklin Roosevelt told us 50 years ago this month: ""Civilization can not go back; civilization must not stand still."	1.0	1.0
136	Roosevelt_1944_0	To the Congress:  This Nation in the past two years has become an active partner in the world's greatest war against human slavery.	1.0	0.0
137	Taft_1912_10	A greater insistence upon justice to American citizens or interests wherever it may have been denied and a stronger emphasis of the need of mutuality in commercial and other relations have only served to strengthen our friendships with foreign countries by placing those friendships upon a firm foundation of realities as well as aspirations.	1.0	1.0
138	Clinton_1995_120	We should get out of the way and let them do what they can do better.	0.0	1.0
139	Ford_1975_30	Three-quarters would go to individuals and one-quarter to promote business investment.	0.0	1.0
140	Roosevelt_1945_282	After the war we must maintain full employment with Government performing its peacetime functions.	0.0	1.0
141	Taft_1911_366	These trade conferences are regarded as a particularly promising method of governmental aid in foreign trade promotion.	0.0	1.0
142	Roosevelt_1904_486	By law our Army is fixed at a maximum of one hundred thousand and a minimum of sixty thousand men.	0.0	0.0
143	Eisenhower_1955_150	So, today, the transition to a peacetime economy is largely behind us.	1.0	0.0
144	Bush_2003_140	Many others have met a different fate.	1.0	0.0
145	Ford_1975_185	If we can show that this Nation is able and willing to help other nations meet the common challenge, it can demonstrate that the United States will fulfill its responsibilities as a leader among nations.	0.0	1.0
146	Roosevelt_1901_234	The act should be amended.	0.0	1.0
147	Coolidge_1926_7	If each Congress in its opening session would make appropriations to continue for two years, very much time would be saved which could either be devoted to a consideration of the general needs of the country or would result in decreasing the work of legislation.	0.0	1.0
148	Johnson_1964_79	But it easily could and it should be still $30 billion higher today than it is.	0.0	1.0
149	Truman_1952_137	They are laboring under terrific handicaps--poverty, ill health, feudal systems of land ownership, and the threat of internal subversion or external attack.	0.0	1.0
150	Clinton_1995_340	I have visited many bases at home and around the world since I became President.	1.0	0.0
151	Obama_2015_118	We still need to make sure employees get the overtime they've earned.	0.0	1.0
152	Roosevelt_1905_748	Active work in canal construction, mainly preparatory, has been in progress for less than a year and a half.	1.0	0.0
153	Coolidge_1923_44	We have relieved their pitiable destitution with an enormous charity.	1.0	0.0
154	Roosevelt_1903_3	It has provided for the expediting of suits for the enforcement of the Federal anti-trust law; and by another law it has secured equal treatment to all producers in the transportation of their goods, thus taking a long stride forward in making effective the work of the Interstate Commerce Commission.	1.0	0.0
155	Obama_2016_137	That way, we put money back into those communities and put tens of thousands of Americans to work building a 21st century transportation system.	1.0	1.0
156	Hoover_1929_376	The District of Columbia should be the model of city law enforcement in the Nation.	0.0	1.0
157	Kennedy_1962_170	To support this historic undertaking, I am proposing--under the authority contained in the bills of the last session of the Congress--a special long-term Alliance for Progress fund of $3 billion.	0.0	1.0
158	Bush_2004_167	For the sake of job growth, the tax cuts you passed should be permanent.	1.0	1.0
159	Reagan_1984_156	To reduce the threat posed by abandoned hazardous waste dumps, EPA will spend $410 million.	0.0	1.0
160	Obama_2012_18	We can do this.	0.0	1.0
161	Taft_1912_339	It contains a provision requiring the levy of an additional 50 per cent to the annual tax in cases of neglect to verify the prescribed return or to file it before the time required by law.	0.0	0.0
162	Roosevelt_1944_68	In two months, June and July, 1943, more than a thousand airplanes that could have been made and should have been made were not made.	1.0	0.0
163	Roosevelt_1908_430	The result is that money is kept in hiding and unemployed.	0.0	0.0
164	Harding_1921_196	There are it full score of topics concerning which it would be becoming to address you, and on which I hope to make report at a later time.	0.0	1.0
165	Reagan_1986_46	The detailed budget that we will submit will meet the Gramm-Rudman-Hollings target for deficit reductions, meet our commitment to ensure a strong national defense, meet our commitment to protect Social Security and the truly less fortunate, and, yes, meet our commitment to not raise taxes.	0.0	1.0
166	Johnson_1966_99	To strengthen the work of Congress I strongly urge an amendment to provide a 4-year term for Members of the House of Representatives--which should not begin before 1972.	0.0	1.0
167	Taft_1911_109	In a special message to Congress on January 7, 1910, I ventured to point out the disturbance to business that would probably attend the dissolution of these offending trusts.	0.0	1.0
168	Kennedy_1962_68	To help those least fortunate of all, I am recommending a new public welfare program, stressing services instead of support, rehabilitation instead of relief, and training for useful work instead of prolonged dependency.	0.0	1.0
169	Clinton_1997_184	Dr. Zarfos, thank you.	1.0	0.0
170	Bush_2001_168	With us tonight, representing many American families, are Steven and Josefina Ramos.	0.0	0.0
171	Roosevelt_1907_193	There must always be as a minimum a tariff which will not only allow for the collection of an ample revenue but which will at least make good the difference in cost of production here and abroad; that is, the difference in the labor cost here and abroad, for the well-being of the wage-worker must ever be a cardinal point of American policy.	0.0	1.0
172	Carter_1978_15	That is what Harry Truman did in the years after the Second World War, when we helped Europe and Japan rebuild themselves and secured an international order that has protected freedom from aggression.	1.0	0.0
173	Johnson_1967_20	So together we have tried to meet the needs of our people.	1.0	0.0
174	Coolidge_1927_191	It can not be sound for all of the people to hire some of the people to produce a crop which neither the producers nor the rest of the people want.	0.0	0.0
175	Taft_1911_658	It would be difficult now to administer the affairs of the Navy without the expert counsel and advice of these aids, and I renew the recommendation which I made last year, that the aids be recognized by statute.	1.0	1.0
176	Truman_1946_166	I believe that that policy carries out our fundamental objectives.	0.0	1.0
177	Johnson_1969_182	In meeting others, it knew turbulence and doubt, and fear and hate.	1.0	0.0
178	Reagan_1982_74	There are too many imponderables for anyone to predict deficits or surpluses several years ahead with any degree of accuracy.	0.0	1.0
179	Roosevelt_1907_666	Unless an officer has a good physique, unless he can stand hardship, ride well, and walk fairly, he is not fit for any position, even after he has become a colonel.	0.0	0.0
180	Bush_2005_75	Fixing Social Security permanently will require an open, candid review of the options.	0.0	1.0
181	Bush_1989_47	Economic growth provides jobs and hope.	0.0	1.0
182	Roosevelt_1908_377	Prominent officers of the Engineer Corps have recently even gone so far as to assert in print that waterways are not dependent upon the conservation of the forests about their headwaters.	1.0	0.0
183	Roosevelt_1904_314	In dealing with the questions of immigration and naturalization it is indispensable to keep certain facts ever before the minds of those who share in enacting the laws.	0.0	0.0
184	Roosevelt_1905_603	It has been urged here, and proposals for a commission to undertake it have, from time to time, been pressed upon the Congress.	1.0	0.0
185	Coolidge_1926_69	The value of our imports for the last fiscal year was $4,466,000,000, an increase of more than 71 per cent since the present tariff law went into effect.	1.0	0.0
186	Roosevelt_1906_312	This education of the farmer--self-education by preference but also education from the outside, as with all other men--is peculiarly necessary here in the United States, where the frontier conditions even in the newest States have now nearly vanished, where there must be a substitution of a more intensive system of cultivation for the old wasteful farm management, and where there must be a better business organization among the farmers themselves.	1.0	1.0
187	Nixon_1974_49	Despite this record of achievement, as we turn to the year ahead we hear once again the familiar voice of the perennial prophets of gloom telling us now that because of the need to fight inflation, because of the energy shortage, America may be headed for a recession.	1.0	1.0
188	Roosevelt_1901_548	That the Army is not at all a mere instrument of destruction has been shown during the last three years.	1.0	0.0
189	Obama_2010_302	We were sent here to serve our citizens, not our ambitions.	1.0	1.0
190	Carter_1981_299	To correct anticipated short-term strains on the system, I proposed last year that the three funds be allowed to borrow from one another, and I urge the Congress again this year to adopt such interfund borrowing.	1.0	1.0
191	Obama_2012_79	So we have a huge opportunity, at this moment, to bring manufacturing back.	0.0	1.0
192	Roosevelt_1906_156	Let me again urge that the Congress provide for a thorough investigation of the conditions of child labor and of the labor of women in the United States.	0.0	1.0
193	Trump_2017_237	Ryan laid down his life for his friends, for his country and for our freedom.	1.0	0.0
194	Roosevelt_1905_10	The superficial fact that the sharing may be unequal must never blind us to the underlying fact that there is this sharing, and that the benefit comes in some degree to each man concerned.	0.0	0.0
195	Truman_1953_203	What have these steps been?	1.0	0.0
196	Truman_1946_176	We believe that all peoples who are prepared for self-government should be permitted to choose their own form of government by their own freely expressed choice, without interference from any foreign source.	0.0	1.0
197	Obama_2009_61	That is not the source of concern.	0.0	0.0
198	Hoover_1931_230	Aliens lawfully in the country should be protected by the issuance of a certificate of residence.	0.0	1.0
199	Roosevelt_1906_105	No man can take part in the torture of a human being without having his own moral nature permanently lowered.	0.0	0.0
200	Coolidge_1927_44	NATIONAL DEFENSE  Being a nation relying not on force, but on fair dealing and good will, to maintain peace with others, we have provided a moderate military force in a form adapted solely to defense.	1.0	0.0
201	Trump_2017_135	Mandating every American to buy government-approved health insurance was never the right solution for our country.	1.0	0.0
202	Coolidge_1928_197	While, consolidations can and should be made under the present law until it is changed, vet the provisions of the act of 1920 have not been found fully adequate to meet the needs of other methods of consolidation.	1.0	1.0
203	Taft_1910_114	The negotiations were conducted on both sides in a spirit of mutual accommodation.	1.0	0.0
204	Clinton_1996_306	We are increasing inspections to prevent the hiring of illegal immigrants.	0.0	1.0
205	Johnson_1967_164	Last January, and again last September, I recommended fiscal and moderate tax measures to try to restrain the unbalanced pace of economic expansion.	1.0	0.0
206	Roosevelt_1901_198	It is most important that we should maintain the high level of our present prosperity.	0.0	1.0
207	Johnson_1967_190	I will very soon forward all of my recommendations to the Congress.	0.0	1.0
208	Hoover_1929_365	The enforcement of the laws enacted to give effect to the eighteenth amendment is far from satisfactory and this is in part due to the inadequate organization of the administrative agencies of the Federal Government.	0.0	0.0
209	Obama_2009_237	Because I will not allow terrorists to plot against the American people from safe havens half a world away.	0.0	1.0
210	Bush_2001_93	These groups are working in every neighborhood in America, to fight homelessness and addiction and domestic violence, to provide a hot meal or a mentor or a safe haven for our children.	0.0	0.0
211	Bush_1989_206	We need multiyear procurement and 2-year budgeting.	0.0	1.0
212	Obama_2013_91	After years of talking about it, we are finally poised to control our own energy future.	1.0	1.0
213	Clinton_1996_211	It embraces our churches and synagogues, our youth groups and our schools.	0.0	0.0
215	Roosevelt_1901_427	We do not guarantee any state against punishment if it misconducts itself, provided that punishment does not take the form of the acquisition of territory by any non-American power.	0.0	1.0
216	Roosevelt_1936_100	Let action be positive and not negative.	0.0	1.0
217	Eisenhower_1955_16	With our understanding support, Egypt and Britain, Yugoslavia and Italy, Britain and Iran have resolved dangerous differences.	1.0	0.0
218	Taft_1912_403	In any serious war in the past it has always been necessary, and in such a war in the future it doubtless will be necessary, for the Nation to depend, in addition to the Regular Army and the National Guard, upon a large force of volunteers.	1.0	1.0
219	Johnson_1967_291	Our adversary still believes, I think, tonight, that he can go on fighting longer than we can, and longer than we and our allies will be prepared to stand up and resist.	0.0	1.0
220	Roosevelt_1939_65	For the first time we have moved upon deep-seated problems affecting our national strength and have forged national instruments adequate to meet them.	1.0	0.0
221	Clinton_1999_129	They need support as well.	0.0	1.0
222	Roosevelt_1907_314	No Department of the Government, however, has more emphatically vindicated its usefulness, and none save the Post-Office Department comes so continually and intimately into touch with the people.	1.0	0.0
223	Bush_1989_289	God bless you, and God bless America.	0.0	0.0
224	Roosevelt_1907_238	I earnestly commend to the attention of the Congress this matter, so that some way may be devised which will limit the abuse of injunctions and protect those rights which from time to time it unwarrantably invades.	0.0	1.0
225	Obama_2010_91	Talk to the single teacher raising two kids who was told by her principal in the last week of school that because of the Recovery Act, she wouldn't be laid off after all.	0.0	0.0
226	Obama_2010_71	Let me repeat: we cut taxes.	0.0	0.0
227	Coolidge_1925_120	They encourage prosperity in order that poverty may be banished from the home.	0.0	1.0
228	Reagan_1988_101	Let us do now what so many States do to hold down spending and what 32 State legislatures have asked us to do.	1.0	0.0
229	Roosevelt_1943_128	And they have never quit.	1.0	0.0
230	Carter_1980_64	This situation demands careful thought, steady nerves, and resolute action, not only for this year but for many years to come.	0.0	1.0
231	Roosevelt_1908_164	Beginning with the Supreme Court, the Judges should have their salaries doubled.	0.0	1.0
232	Roosevelt_1904_399	It is not merely unwise, it is contemptible, for a nation, as for an individual, to use high-sounding language to proclaim its purposes, or to take positions which are ridiculous if unsupported by potential force, and then to refuse to provide this force.	0.0	0.0
